i value
0.000 950.000
0.433 950.000
0.850 950.000
1.267 950.000
1.700 950.000
2.133 950.000
2.550 950.000
4.050 950.000
4.567 950.000
5.000 950.000
7.050 950.000
7.467 950.000
7.783 950.000
8.200 950.000
8.617 950.000
9.050 950.000
9.483 950.000
9.917 950.000
10.333 950.000
10.800 950.000
11.283 950.000
11.733 950.000
12.317 950.000
12.783 950.000
13.233 950.000
13.700 950.000
14.167 950.000
14.633 950.000
