i value
0.000 386.183
0.433 528.831
0.850 376.468
1.267 377.110
1.700 369.026
2.133 387.240
2.550 469.088
4.050 195.096
4.567 419.673
5.000 141.333
7.050 361.289
7.467 387.594
7.783 387.381
8.200 379.669
8.617 425.402
9.050 599.965
9.483 477.221
9.917 486.725
10.333 501.114
10.800 505.855
11.283 583.367
11.733 472.929
12.317 677.283
12.783 482.846
13.233 462.198
13.700 424.680
14.167 397.079
14.633 483.393
