i value
1.700 407.524
2.133 407.735
2.550 395.786
4.050 359.512
4.567 368.024
5.000 265.953
7.050 265.953
7.467 265.953
7.783 265.953
8.200 265.953
8.617 388.267
9.050 436.002
9.483 453.927
9.917 473.796
10.333 498.085
10.800 514.176
11.283 510.856
11.733 509.998
12.317 548.110
12.783 544.456
13.233 535.725
13.700 503.987
14.167 488.817
14.633 450.039
