i value
0.000 0.328
0.383 1.655
0.767 0.703
1.133 1.491
1.417 0.299
1.800 1.014
2.083 0.524
2.450 0.588
2.833 0.165
3.200 0.174
3.583 0.170
4.800 1.617
5.283 0.266
5.667 0.285
6.033 0.165
7.800 0.192
8.167 0.181
8.583 0.190
8.967 0.596
9.350 0.742
9.833 0.229
10.650 0.670
13.400 0.551
13.800 0.339
14.200 1.102
