i value
0.000 0.950
0.383 0.950
0.767 0.950
1.133 0.950
1.417 0.950
1.800 0.950
2.083 0.950
2.450 0.950
2.833 0.950
3.200 0.950
3.583 0.950
4.800 0.950
5.283 0.950
5.667 0.950
6.033 0.950
7.800 0.950
8.167 0.950
8.583 0.950
8.967 0.950
9.350 0.950
9.833 0.950
10.650 0.950
13.400 0.950
13.800 0.950
14.200 0.950
