i value
0.000 0.558
0.400 1.204
0.783 2.702
1.183 0.677
1.567 0.364
1.950 0.477
2.333 0.216
2.700 1.140
3.100 1.048
5.167 2.237
5.533 0.345
5.817 0.265
6.183 0.314
6.567 0.517
6.933 0.208
7.250 0.175
8.350 0.306
8.767 0.257
9.133 0.230
9.433 0.230
9.817 0.217
10.200 0.269
10.617 0.599
11.000 0.275
11.383 0.410
11.833 2.616
12.250 0.786
12.650 0.339
13.117 0.448
13.600 1.180
14.033 2.113
