i value
1.567 1.101
1.950 1.085
2.333 0.887
2.700 0.575
3.100 0.649
5.167 0.649
5.533 0.649
5.817 0.649
6.183 0.649
6.567 0.736
6.933 0.330
7.250 0.296
8.350 0.304
8.767 0.293
9.133 0.235
9.433 0.239
9.817 0.248
10.200 0.241
10.617 0.309
11.000 0.318
11.383 0.354
11.833 0.834
12.250 0.937
12.650 0.885
13.117 0.920
13.600 1.074
14.033 0.973
