i value
1.583 359.834
1.900 353.322
2.333 363.155
2.833 463.561
3.367 554.111
3.783 609.973
4.183 615.820
4.617 608.573
5.033 508.615
5.467 411.244
5.900 365.129
6.333 365.886
6.783 365.442
7.233 365.442
7.667 365.442
8.117 365.442
8.550 365.442
9.017 446.439
9.467 448.986
9.917 446.294
10.367 445.518
10.817 438.419
11.283 430.939
11.750 423.786
12.233 421.106
12.700 418.093
13.167 425.550
13.633 423.200
14.133 424.601
