i value
1.333 0.058
1.717 0.056
2.083 0.048
2.467 0.043
2.833 0.078
3.217 0.059
3.600 0.068
3.967 0.075
4.333 0.078
4.717 0.048
5.750 0.052
6.233 0.042
6.617 0.139
6.983 0.148
7.967 0.145
8.650 0.151
9.033 0.159
9.400 0.069
9.817 0.071
10.217 0.087
10.667 0.121
11.450 0.128
12.133 0.126
12.633 0.119
12.983 0.116
13.350 0.101
13.700 0.082
14.133 0.073
14.567 0.084
14.950 0.079
15.350 0.079
15.700 0.084
16.067 0.088
