i value
1.683 4.356
2.117 4.394
2.567 43.420
3.083 139.212
3.567 234.663
3.983 234.663
4.400 234.663
4.817 234.663
5.250 234.663
5.683 4.749
6.117 5.285
6.550 5.623
7.000 6.326
7.450 7.482
7.900 8.173
8.350 9.284
8.800 10.463
9.267 12.999
9.683 12.796
10.150 13.022
10.583 14.137
11.067 15.028
11.533 13.449
12.000 14.186
12.467 17.100
12.950 17.583
13.417 17.127
13.883 20.701
