i value
1.567 54.196
1.950 44.989
2.333 35.217
2.700 26.814
3.100 26.508
3.567 24.891
4.117 27.155
4.500 23.552
4.883 22.275
5.250 20.872
5.533 17.523
5.900 13.335
6.283 14.264
6.650 12.514
7.033 11.904
7.433 9.549
8.050 22.460
8.450 85.060
8.850 94.677
9.133 95.927
9.517 96.299
9.917 89.257
10.300 26.616
10.700 18.566
11.100 19.067
11.517 20.211
11.967 18.134
12.350 20.286
12.817 18.680
13.250 18.533
13.767 18.441
