i value
0.000 0.950
0.400 0.950
0.800 0.950
1.083 0.950
1.450 0.950
1.833 0.950
2.217 0.950
2.583 0.950
2.967 0.950
3.333 0.950
3.617 0.950
3.983 0.950
5.117 0.950
5.600 0.950
5.983 0.950
6.350 0.950
7.333 0.950
8.017 0.950
8.400 0.950
8.767 0.950
9.183 0.950
9.583 0.950
10.033 0.950
10.850 0.950
13.733 0.950
14.117 0.950
14.517 0.950
