i value
0.000 2427.067
0.400 922.888
0.800 282.106
1.083 168.076
1.450 121.641
1.833 78.251
2.217 75.862
2.583 66.542
2.967 70.379
3.333 72.166
3.617 58.893
3.983 61.480
5.117 180.349
5.600 222.572
5.983 284.245
6.350 431.474
7.333 774.107
8.017 334.997
8.400 151.855
8.767 116.346
9.183 127.867
9.583 91.186
10.033 108.705
10.850 128.112
13.733 1293.262
14.117 277.214
14.517 194.252
