i value
0.000 50.000
0.433 50.000
0.850 50.000
1.267 50.000
1.700 50.000
2.133 50.000
2.550 50.000
4.467 50.000
4.917 50.000
5.267 50.000
7.050 50.000
7.467 50.000
7.883 50.000
8.300 50.000
8.733 50.000
9.150 50.000
9.583 50.000
10.017 50.000
10.450 50.000
10.917 50.000
11.383 50.000
11.850 50.000
12.317 50.000
12.783 50.000
13.233 50.000
13.683 50.000
14.167 50.000
14.633 50.000
15.067 50.000
15.517 50.000
