i value
0.000 227.683
0.400 253.380
0.783 241.200
1.167 251.908
1.533 245.850
1.933 247.630
2.300 243.407
2.667 244.618
2.967 243.633
3.317 249.604
3.700 241.533
4.083 247.053
7.917 241.305
8.300 245.087
8.667 244.824
9.083 246.257
9.483 242.063
9.933 248.042
10.850 241.378
12.617 208.161
13.400 250.736
13.833 239.562
14.217 245.367
14.617 243.522
