i value
0.000 1.000
0.383 1.000
0.783 1.000
1.167 1.000
1.550 1.000
1.950 1.000
2.333 1.000
2.717 1.000
3.100 1.000
3.483 1.000
3.850 1.000
4.417 1.000
4.783 1.000
5.183 1.000
5.550 1.000
5.933 1.000
6.300 1.000
6.667 1.000
7.050 1.000
7.417 1.000
7.833 1.000
8.317 1.000
8.933 1.000
9.350 1.000
9.717 1.000
10.100 1.000
10.500 1.000
10.883 1.000
11.283 1.000
11.683 1.000
12.100 1.000
12.550 1.000
12.933 1.000
13.400 1.000
13.833 1.000
14.317 1.000
14.700 1.000
15.067 1.000
