i value
0.000 35.926
0.400 7.246
0.783 15.875
1.167 2.357
1.533 2.306
1.917 2.034
2.200 1.545
2.567 3.738
2.950 1.782
3.317 1.419
3.700 1.401
4.917 1.380
5.400 1.978
5.783 3.680
6.150 1.424
7.133 1.626
7.817 1.874
8.183 1.322
8.567 1.050
8.983 2.552
9.383 1.881
9.833 2.774
10.567 6.781
13.417 51.914
13.833 1.151
14.217 2.251
14.617 1.000
